case,group,keff_threshold,valid_points,burnup_range,max_CR,keff_at_max_CR,avg_CR,Th_level,Pu_level,U235_enrichment,U233_enrichment,total_enrichment
A001,A,0.8,25,0.0 - 42.0,0.953877,0.8223,0.65062888,0.0,0.0,0.02,0.0,0.02
A001,A,0.9,22,0.0 - 24.0,0.815734,0.924538,0.6158543181818181,0.0,0.0,0.02,0.0,0.02
A001,A,0.95,21,0.0 - 20.0,0.770939,0.958894,0.606336238095238,0.0,0.0,0.02,0.0,0.02
A001,A,1.0,18,0.0 - 14.0,0.69736,1.01929,0.5829402222222222,0.0,0.0,0.02,0.0,0.02
A002,A,0.8,26,0.0 - 50.0,0.900219,0.835801,0.5434074230769231,0.0,0.0,0.03,0.0,0.03
A002,A,0.9,24,0.0 - 34.0,0.764785,0.936044,0.516226875,0.0,0.0,0.03,0.0,0.03
A002,A,0.95,23,0.0 - 28.0,0.703767,0.986205,0.50542,0.0,0.0,0.03,0.0,0.03
A002,A,1.0,22,0.0 - 24.0,0.661942,1.02291,0.49640422727272726,0.0,0.0,0.03,0.0,0.03
A003,A,0.8,26,0.0 - 50.0,0.677319,0.965006,0.41303223076923073,0.0,0.0,0.05,0.0,0.05
A003,A,0.9,26,0.0 - 50.0,0.677319,0.965006,0.41303223076923073,0.0,0.0,0.05,0.0,0.05
A003,A,0.95,26,0.0 - 50.0,0.677319,0.965006,0.41303223076923073,0.0,0.0,0.05,0.0,0.05
A003,A,1.0,25,0.0 - 42.0,0.61378,1.02409,0.40246076,0.0,0.0,0.05,0.0,0.05
A004,A,0.8,26,0.0 - 50.0,1.02606,0.830551,0.9506964615384615,0.3,0.0,0.02,0.0,0.02
A004,A,0.9,19,0.0 - 16.0,0.966474,0.9022,0.9317280526315791,0.3,0.0,0.02,0.0,0.02
A004,A,0.95,5,0.0 - 1.0,0.944183,0.958396,0.9357846000000001,0.3,0.0,0.02,0.0,0.02
A005,A,0.8,26,0.0 - 50.0,0.996467,0.841726,0.7952753846153846,0.3,0.0,0.03,0.0,0.03
A005,A,0.9,23,0.0 - 28.0,0.91848,0.906422,0.7720306086956521,0.3,0.0,0.03,0.0,0.03
A005,A,0.95,20,0.0 - 18.0,0.85259,0.954462,0.753853,0.3,0.0,0.03,0.0,0.03
A005,A,1.0,16,0.0 - 10.0,0.786399,1.00422,0.735155625,0.3,0.0,0.03,0.0,0.03
A006,A,0.8,26,0.0 - 50.0,0.883307,0.891081,0.6158275769230769,0.3,0.0,0.05,0.0,0.05
A006,A,0.9,25,0.0 - 42.0,0.835096,0.926175,0.6051284,0.3,0.0,0.05,0.0,0.05
A006,A,0.95,24,0.0 - 34.0,0.781873,0.967265,0.5955464166666666,0.3,0.0,0.05,0.0,0.05
A006,A,1.0,23,0.0 - 28.0,0.738139,1.0021,0.5874452608695652,0.3,0.0,0.05,0.0,0.05
A007,A,0.8,13,7.0 - 50.0,1.24767,0.810622,1.1232415384615386,0.6,0.0,0.02,0.0,0.02
A008,A,0.8,26,0.0 - 50.0,1.24918,0.818237,1.1367150000000001,0.6,0.0,0.03,0.0,0.03
A009,A,0.8,26,0.0 - 50.0,1.01453,0.85293,0.8995441538461539,0.6,0.0,0.05,0.0,0.05
A009,A,0.9,22,0.0 - 24.0,0.958239,0.907779,0.8822220454545452,0.6,0.0,0.05,0.0,0.05
A009,A,0.95,16,0.0 - 10.0,0.894155,0.95262,0.8644179999999999,0.6,0.0,0.05,0.0,0.05
A009,A,1.0,2,0.0 - 0.1,0.850747,1.00779,0.8428295,0.6,0.0,0.05,0.0,0.05
A010,A,0.8,12,8.0 - 50.0,1.32447,0.81209,1.1485508333333334,0.9,0.0,0.02,0.0,0.02
A011,A,0.8,12,8.0 - 50.0,1.3409,0.803285,1.1534058333333335,0.9,0.0,0.03,0.0,0.03
A012,A,0.8,11,10.0 - 50.0,1.27788,0.819944,1.1380754545454546,0.9,0.0,0.05,0.0,0.05
B001,B,0.8,26,0.0 - 50.0,0.758946,1.02956,0.4468778461538462,0.95,0.0,0.0,0.05,0.05
B001,B,0.9,26,0.0 - 50.0,0.758946,1.02956,0.4468778461538462,0.95,0.0,0.0,0.05,0.05
B001,B,0.95,26,0.0 - 50.0,0.758946,1.02956,0.4468778461538462,0.95,0.0,0.0,0.05,0.05
B001,B,1.0,26,0.0 - 50.0,0.758946,1.02956,0.4468778461538462,0.95,0.0,0.0,0.05,0.05
B002,B,0.8,26,0.0 - 50.0,0.36203,1.41344,0.2580420769230769,0.9,0.0,0.0,0.1,0.1
B002,B,0.9,26,0.0 - 50.0,0.36203,1.41344,0.2580420769230769,0.9,0.0,0.0,0.1,0.1
B002,B,0.95,26,0.0 - 50.0,0.36203,1.41344,0.2580420769230769,0.9,0.0,0.0,0.1,0.1
B002,B,1.0,26,0.0 - 50.0,0.36203,1.41344,0.2580420769230769,0.9,0.0,0.0,0.1,0.1
B003,B,0.8,26,0.0 - 50.0,0.248264,1.59603,0.19611257692307696,0.85,0.0,0.0,0.15,0.15
B003,B,0.9,26,0.0 - 50.0,0.248264,1.59603,0.19611257692307696,0.85,0.0,0.0,0.15,0.15
B003,B,0.95,26,0.0 - 50.0,0.248264,1.59603,0.19611257692307696,0.85,0.0,0.0,0.15,0.15
B003,B,1.0,26,0.0 - 50.0,0.248264,1.59603,0.19611257692307696,0.85,0.0,0.0,0.15,0.15
B004,B,0.8,26,0.0 - 50.0,0.196828,1.69807,0.1626458846153846,0.8,0.0,0.0,0.2,0.2
B004,B,0.9,26,0.0 - 50.0,0.196828,1.69807,0.1626458846153846,0.8,0.0,0.0,0.2,0.2
B004,B,0.95,26,0.0 - 50.0,0.196828,1.69807,0.1626458846153846,0.8,0.0,0.0,0.2,0.2
B004,B,1.0,26,0.0 - 50.0,0.196828,1.69807,0.1626458846153846,0.8,0.0,0.0,0.2,0.2
B005,B,0.8,26,0.0 - 50.0,0.164989,1.76748,0.13983,0.75,0.0,0.0,0.25,0.25
B005,B,0.9,26,0.0 - 50.0,0.164989,1.76748,0.13983,0.75,0.0,0.0,0.25,0.25
B005,B,0.95,26,0.0 - 50.0,0.164989,1.76748,0.13983,0.75,0.0,0.0,0.25,0.25
B005,B,1.0,26,0.0 - 50.0,0.164989,1.76748,0.13983,0.75,0.0,0.0,0.25,0.25
B006,B,0.8,26,0.0 - 50.0,0.142344,1.82044,0.1223455,0.7,0.0,0.0,0.3,0.3
B006,B,0.9,26,0.0 - 50.0,0.142344,1.82044,0.1223455,0.7,0.0,0.0,0.3,0.3
B006,B,0.95,26,0.0 - 50.0,0.142344,1.82044,0.1223455,0.7,0.0,0.0,0.3,0.3
B006,B,1.0,26,0.0 - 50.0,0.142344,1.82044,0.1223455,0.7,0.0,0.0,0.3,0.3
B007,B,0.8,26,0.0 - 50.0,0.124428,1.86385,0.10796300000000002,0.65,0.0,0.0,0.35,0.35
B007,B,0.9,26,0.0 - 50.0,0.124428,1.86385,0.10796300000000002,0.65,0.0,0.0,0.35,0.35
B007,B,0.95,26,0.0 - 50.0,0.124428,1.86385,0.10796300000000002,0.65,0.0,0.0,0.35,0.35
B007,B,1.0,26,0.0 - 50.0,0.124428,1.86385,0.10796300000000002,0.65,0.0,0.0,0.35,0.35
B008,B,0.8,26,0.0 - 50.0,0.109442,1.9012,0.09562922692307693,0.6,0.0,0.0,0.4,0.4
B008,B,0.9,26,0.0 - 50.0,0.109442,1.9012,0.09562922692307693,0.6,0.0,0.0,0.4,0.4
B008,B,0.95,26,0.0 - 50.0,0.109442,1.9012,0.09562922692307693,0.6,0.0,0.0,0.4,0.4
B008,B,1.0,26,0.0 - 50.0,0.109442,1.9012,0.09562922692307693,0.6,0.0,0.0,0.4,0.4
B009,B,0.8,26,0.0 - 50.0,0.0965461,1.93436,0.08477513846153845,0.55,0.0,0.0,0.45,0.45
B009,B,0.9,26,0.0 - 50.0,0.0965461,1.93436,0.08477513846153845,0.55,0.0,0.0,0.45,0.45
B009,B,0.95,26,0.0 - 50.0,0.0965461,1.93436,0.08477513846153845,0.55,0.0,0.0,0.45,0.45
B009,B,1.0,26,0.0 - 50.0,0.0965461,1.93436,0.08477513846153845,0.55,0.0,0.0,0.45,0.45
B010,B,0.8,26,0.0 - 50.0,0.0852358,1.96451,0.07501438076923078,0.5,0.0,0.0,0.5,0.5
B010,B,0.9,26,0.0 - 50.0,0.0852358,1.96451,0.07501438076923078,0.5,0.0,0.0,0.5,0.5
B010,B,0.95,26,0.0 - 50.0,0.0852358,1.96451,0.07501438076923078,0.5,0.0,0.0,0.5,0.5
B010,B,1.0,26,0.0 - 50.0,0.0852358,1.96451,0.07501438076923078,0.5,0.0,0.0,0.5,0.5
B011,B,0.8,26,0.0 - 50.0,0.0749557,1.99246,0.06610700769230769,0.45,0.0,0.0,0.55,0.55
B011,B,0.9,26,0.0 - 50.0,0.0749557,1.99246,0.06610700769230769,0.45,0.0,0.0,0.55,0.55
B011,B,0.95,26,0.0 - 50.0,0.0749557,1.99246,0.06610700769230769,0.45,0.0,0.0,0.55,0.55
B011,B,1.0,26,0.0 - 50.0,0.0749557,1.99246,0.06610700769230769,0.45,0.0,0.0,0.55,0.55
B012,B,0.8,26,0.0 - 50.0,0.0656471,2.01848,0.05788736538461539,0.4,0.0,0.0,0.6,0.6
B012,B,0.9,26,0.0 - 50.0,0.0656471,2.01848,0.05788736538461539,0.4,0.0,0.0,0.6,0.6
B012,B,0.95,26,0.0 - 50.0,0.0656471,2.01848,0.05788736538461539,0.4,0.0,0.0,0.6,0.6
B012,B,1.0,26,0.0 - 50.0,0.0656471,2.01848,0.05788736538461539,0.4,0.0,0.0,0.6,0.6
C001,C,0.8,26,0.0 - 50.0,0.880412,0.908662,0.446263423076923,0.95,0.05,0.0,0.0,0.0
C001,C,0.9,26,0.0 - 50.0,0.880412,0.908662,0.446263423076923,0.95,0.05,0.0,0.0,0.0
C001,C,0.95,25,0.0 - 42.0,0.792771,0.957478,0.42889748,0.95,0.05,0.0,0.0,0.0
C001,C,1.0,24,0.0 - 34.0,0.695984,1.01486,0.4137360833333333,0.95,0.05,0.0,0.0,0.0
C002,C,0.8,26,0.0 - 50.0,0.502005,1.13285,0.31200126923076926,0.9,0.1,0.0,0.0,0.0
C002,C,0.9,26,0.0 - 50.0,0.502005,1.13285,0.31200126923076926,0.9,0.1,0.0,0.0,0.0
C002,C,0.95,26,0.0 - 50.0,0.502005,1.13285,0.31200126923076926,0.9,0.1,0.0,0.0,0.0
C002,C,1.0,26,0.0 - 50.0,0.502005,1.13285,0.31200126923076926,0.9,0.1,0.0,0.0,0.0
C003,C,0.8,26,0.0 - 50.0,0.394888,1.23804,0.25903215384615386,0.85,0.15,0.0,0.0,0.0
C003,C,0.9,26,0.0 - 50.0,0.394888,1.23804,0.25903215384615386,0.85,0.15,0.0,0.0,0.0
C003,C,0.95,26,0.0 - 50.0,0.394888,1.23804,0.25903215384615386,0.85,0.15,0.0,0.0,0.0
C003,C,1.0,26,0.0 - 50.0,0.394888,1.23804,0.25903215384615386,0.85,0.15,0.0,0.0,0.0
C004,C,0.8,26,0.0 - 50.0,0.335167,1.31236,0.2245773846153846,0.8,0.2,0.0,0.0,0.0
C004,C,0.9,26,0.0 - 50.0,0.335167,1.31236,0.2245773846153846,0.8,0.2,0.0,0.0,0.0
C004,C,0.95,26,0.0 - 50.0,0.335167,1.31236,0.2245773846153846,0.8,0.2,0.0,0.0,0.0
C004,C,1.0,26,0.0 - 50.0,0.335167,1.31236,0.2245773846153846,0.8,0.2,0.0,0.0,0.0
C005,C,0.8,26,0.0 - 50.0,0.292735,1.37402,0.19834288461538463,0.75,0.25,0.0,0.0,0.0
C005,C,0.9,26,0.0 - 50.0,0.292735,1.37402,0.19834288461538463,0.75,0.25,0.0,0.0,0.0
C005,C,0.95,26,0.0 - 50.0,0.292735,1.37402,0.19834288461538463,0.75,0.25,0.0,0.0,0.0
C005,C,1.0,26,0.0 - 50.0,0.292735,1.37402,0.19834288461538463,0.75,0.25,0.0,0.0,0.0
C006,C,0.8,26,0.0 - 50.0,0.259317,1.42814,0.1768345769230769,0.7,0.3,0.0,0.0,0.0
C006,C,0.9,26,0.0 - 50.0,0.259317,1.42814,0.1768345769230769,0.7,0.3,0.0,0.0,0.0
C006,C,0.95,26,0.0 - 50.0,0.259317,1.42814,0.1768345769230769,0.7,0.3,0.0,0.0,0.0
C006,C,1.0,26,0.0 - 50.0,0.259317,1.42814,0.1768345769230769,0.7,0.3,0.0,0.0,0.0
C007,C,0.8,26,0.0 - 50.0,0.231529,1.47769,0.15850507692307694,0.65,0.35,0.0,0.0,0.0
C007,C,0.9,26,0.0 - 50.0,0.231529,1.47769,0.15850507692307694,0.65,0.35,0.0,0.0,0.0
C007,C,0.95,26,0.0 - 50.0,0.231529,1.47769,0.15850507692307694,0.65,0.35,0.0,0.0,0.0
C007,C,1.0,26,0.0 - 50.0,0.231529,1.47769,0.15850507692307694,0.65,0.35,0.0,0.0,0.0
C008,C,0.8,26,0.0 - 50.0,0.207877,1.5233,0.14247473076923076,0.6,0.4,0.0,0.0,0.0
C008,C,0.9,26,0.0 - 50.0,0.207877,1.5233,0.14247473076923076,0.6,0.4,0.0,0.0,0.0
C008,C,0.95,26,0.0 - 50.0,0.207877,1.5233,0.14247473076923076,0.6,0.4,0.0,0.0,0.0
C008,C,1.0,26,0.0 - 50.0,0.207877,1.5233,0.14247473076923076,0.6,0.4,0.0,0.0,0.0
C009,C,0.8,26,0.0 - 50.0,0.187159,1.56621,0.12816251538461537,0.55,0.45,0.0,0.0,0.0
C009,C,0.9,26,0.0 - 50.0,0.187159,1.56621,0.12816251538461537,0.55,0.45,0.0,0.0,0.0
C009,C,0.95,26,0.0 - 50.0,0.187159,1.56621,0.12816251538461537,0.55,0.45,0.0,0.0,0.0
C009,C,1.0,26,0.0 - 50.0,0.187159,1.56621,0.12816251538461537,0.55,0.45,0.0,0.0,0.0
C010,C,0.8,26,0.0 - 50.0,0.168723,1.60674,0.11522397692307693,0.5,0.5,0.0,0.0,0.0
C010,C,0.9,26,0.0 - 50.0,0.168723,1.60674,0.11522397692307693,0.5,0.5,0.0,0.0,0.0
