case,step,burnup_MWd_kgHM_global,ANA_KEFF,CONVERSION_RATIO,reactivity_pcm
M70-30,23,34.0,0.965517,0.780695,-3571.454464292192
M70-30,24,42.0,0.94065,0.804329,-6309.4668580237085
M70-30,25,50.0,0.917392,0.826969,-9004.656678933326
M70-5,0,0.0,1.15423,0.620844,13362.154856484414
M70-5,1,0.1,1.13265,0.630906,11711.47309407142
M70-5,2,0.4,1.12875,0.633777,11406.423034330004
M70-5,3,0.7,1.1252,0.635822,11126.910771418414
M70-5,4,1.0,1.12258,0.63706,10919.489034189093
M70-5,5,1.3,1.11986,0.639134,10703.123604736313
M70-5,6,1.6,1.11762,0.640403,10524.149532041307
M70-5,7,2.0,1.11443,0.642274,10268.029396193571
M70-5,8,2.5,1.11083,0.645094,9977.224237732145
M70-5,9,3.0,1.10825,0.64714,9767.65170313557
M70-5,10,4.0,1.10275,0.650577,9317.615053275893
M70-5,11,5.0,1.09715,0.65455,8854.760060155864
M70-5,12,6.0,1.0923,0.658122,8450.059507461325
M70-5,13,7.0,1.08743,0.661967,8040.057750843724
M70-5,14,8.0,1.08277,0.665508,7644.282719321741
M70-5,15,10.0,1.07304,0.673447,6806.829195556549
M70-5,16,12.0,1.06461,0.679773,6068.889076751116
M70-5,17,14.0,1.05547,0.687123,5255.478601949834
M70-5,18,16.0,1.04627,0.69441,4422.376633182643
M70-5,19,18.0,1.03791,0.701523,3652.5324931834266
M70-5,20,20.0,1.02937,0.708892,2853.201472745456
M70-5,21,24.0,1.01325,0.722654,1307.6733283987155
M70-5,22,28.0,0.997669,0.735888,-233.64462562232282
M70-5,23,34.0,0.975437,0.756411,-2518.1534020136614
M70-5,24,42.0,0.948171,0.781345,-5466.208099593851
M70-5,25,50.0,0.922325,0.80536,-8421.651803865238
M87-10,0,0.0,1.15625,0.617265,13513.513513513515
M87-10,1,0.1,1.13523,0.626909,11912.123534437951
M87-10,2,0.4,1.13059,0.629408,11550.60632059367
M87-10,3,0.7,1.1273,0.631832,11292.468730595225
M87-10,4,1.0,1.12463,0.632764,11081.866925122042
M87-10,5,1.3,1.12151,0.635251,10834.499915292776
M87-10,6,1.6,1.11969,0.63655,10689.565861979661
M87-10,7,2.0,1.11659,0.638596,10441.612409210182
M87-10,8,2.5,1.1134,0.640624,10185.018861146034
M87-10,9,3.0,1.1107,0.642417,9966.687674439545
M87-10,10,4.0,1.10446,0.646958,9458.015681871684
M87-10,11,5.0,1.09899,0.651184,9007.361304470462
M87-10,12,6.0,1.09436,0.654358,8622.391169267883
M87-10,13,7.0,1.08913,0.658065,8183.596081275875
M87-10,14,8.0,1.08413,0.662109,7760.1394666691285
M87-10,15,10.0,1.07473,0.668863,6953.3743358797055
M87-10,16,12.0,1.06553,0.6768,6149.991084249161
M87-10,17,14.0,1.05646,0.683702,5344.262915775321
M87-10,18,16.0,1.04758,0.690932,4541.89656159911
M87-10,19,18.0,1.03904,0.698055,3757.314444102245
M87-10,20,20.0,1.03029,0.705819,2939.948946413139
M87-10,21,24.0,1.01424,0.718889,1404.0069411579143
M87-10,22,28.0,0.998651,0.733326,-135.08222592277428
M87-10,23,34.0,0.976112,0.753229,-2447.2601504745376
M87-10,24,42.0,0.94771,0.778888,-5517.51063088919
M87-10,25,50.0,0.92163,0.803292,-8503.412432321004
M87-15,0,0.0,1.1537,0.620502,13322.354164860877
M87-15,1,0.1,1.13288,0.630109,11729.397641409514
M87-15,2,0.4,1.12839,0.632755,11378.158260884979
M87-15,3,0.7,1.12542,0.63464,11144.283911784052
M87-15,4,1.0,1.12212,0.636687,10882.971518197699
M87-15,5,1.3,1.11901,0.638528,10635.293697107269
M87-15,6,1.6,1.11729,0.639526,10497.722167029144
M87-15,7,2.0,1.11427,0.641428,10255.144623834445
M87-15,8,2.5,1.11093,0.644037,9985.327608400166
M87-15,9,3.0,1.108,0.646027,9747.292418772571
M87-15,10,4.0,1.10252,0.650047,9298.697529296516
M87-15,11,5.0,1.09701,0.654069,8843.12813921478
M87-15,12,6.0,1.09236,0.657707,8455.08806620528
M87-15,13,7.0,1.08694,0.661382,7998.601578743998
M87-15,14,8.0,1.08218,0.66488,7593.930769372925
M87-15,15,10.0,1.07265,0.672637,6772.945508786658
M87-15,16,12.0,1.06333,0.679983,5955.81804331676
M87-15,17,14.0,1.05443,0.687228,5162.030670599279
M87-15,18,16.0,1.04564,0.694281,4364.790941432989
M87-15,19,18.0,1.03703,0.701752,3570.7742302536954
M87-15,20,20.0,1.02878,0.708148,2797.488287097341
M87-15,21,24.0,1.01288,0.721957,1271.6215148882397
M87-15,22,28.0,0.99725,0.735912,-275.7583354224147
M87-15,23,34.0,0.974622,0.756321,-2603.8812996218035
M87-15,24,42.0,0.947069,0.781865,-5588.9275227042535
M87-15,25,50.0,0.920973,0.806044,-8580.816158562733
M87-20,0,0.0,1.15214,0.62243,13204.992448834339
M87-20,1,0.1,1.13036,0.632718,11532.609080293007
M87-20,2,0.4,1.12641,0.634886,11222.37906268587
M87-20,3,0.7,1.12246,0.637301,10909.965611246727
M87-20,4,1.0,1.12001,0.639204,10715.082901045522
M87-20,5,1.3,1.11772,0.640786,10532.154743585159
M87-20,6,1.6,1.1154,0.641941,10346.064192218033
M87-20,7,2.0,1.11251,0.644166,10113.167522089698
M87-20,8,2.5,1.10935,0.646271,9857.123540812192
M87-20,9,3.0,1.10595,0.648392,9579.99909579999
M87-20,10,4.0,1.10053,0.652492,9134.689649532498
M87-20,11,5.0,1.09524,0.656391,8695.810963807018
M87-20,12,6.0,1.08992,0.66023,8250.14679976512
M87-20,13,7.0,1.08509,0.663856,7841.745845966703
M87-20,14,8.0,1.07974,0.66768,7385.111230481406
M87-20,15,10.0,1.07075,0.674957,6607.518094793377
M87-20,16,12.0,1.06182,0.682245,5822.07907178241
M87-20,17,14.0,1.05304,0.689083,5036.845703866898
M87-20,18,16.0,1.04435,0.696285,4246.660602288494
M87-20,19,18.0,1.0357,0.703714,3446.9440957806373
M87-20,20,20.0,1.02776,0.710352,2701.019693313615
M87-20,21,24.0,1.01123,0.724418,1110.5287620027168
M87-20,22,28.0,0.995772,0.738008,-424.5951884567963
M87-20,23,34.0,0.973193,0.758921,-2754.540980052264
M87-20,24,42.0,0.945968,0.78402,-5711.821118684772
M87-20,25,50.0,0.92076,0.807384,-8605.93422824623
M87-25,0,0.0,1.14982,0.624789,13029.865544172137
M87-25,1,0.1,1.12936,0.634096,11454.274987603592
M87-25,2,0.4,1.12483,0.63654,11097.676982299547
M87-25,3,0.7,1.12125,0.63885,10813.823857302124
M87-25,4,1.0,1.11851,0.640633,10595.3455936916
M87-25,5,1.3,1.11593,0.642269,10388.644449024589
M87-25,6,1.6,1.11345,0.644247,10189.052045444343
M87-25,7,2.0,1.11077,0.645717,9972.361514985103
M87-25,8,2.5,1.10776,0.647737,9727.738860402982
M87-25,9,3.0,1.10407,0.650473,9426.032769661351
M87-25,10,4.0,1.09853,0.654186,8969.258918736858
M87-25,11,5.0,1.09355,0.657851,8554.707146449638
M87-25,12,6.0,1.08825,0.662104,8109.349873650351
M87-25,13,7.0,1.08357,0.665821,7712.468968317685
M87-25,14,8.0,1.07874,0.66946,7299.256540037453
M87-25,15,10.0,1.06955,0.676435,6502.734795007246
M87-25,16,12.0,1.0606,0.68353,5713.746935696774
M87-25,17,14.0,1.05128,0.691058,4877.863176318392
M87-25,18,16.0,1.0428,0.698374,4104.334484081315
M87-25,19,18.0,1.03417,0.705083,3304.0989392459683
M87-25,20,20.0,1.02611,0.712435,2544.5614992544733
M87-25,21,24.0,1.01012,0.726168,1001.8611650100886
M87-25,22,28.0,0.994402,0.740352,-562.9514019481046
M87-25,23,34.0,0.97293,0.75986,-2782.317330126529
M87-25,24,42.0,0.945277,0.785474,-5789.096740955293
M87-25,25,50.0,0.91995,0.809437,-8701.55986738409
M87-30,0,0.0,1.14945,0.625454,13001.87045978512
M87-30,1,0.1,1.12792,0.635575,11341.229874459184
M87-30,2,0.4,1.12305,0.637992,10956.769511597888
M87-30,3,0.7,1.12037,0.63989,10743.772146701544
M87-30,4,1.0,1.11729,0.641517,10497.722167029144
M87-30,5,1.3,1.11465,0.643396,10285.739918360017
M87-30,6,1.6,1.112,0.645309,10071.942446043173
M87-30,7,2.0,1.10936,0.646861,9857.936107305106
M87-30,8,2.5,1.10609,0.649244,9591.44373423501
M87-30,9,3.0,1.1032,0.65088,9354.604786076865
M87-30,10,4.0,1.09739,0.655385,8874.693591157207
M87-30,11,5.0,1.09223,0.659192,8444.192157329502
M87-30,12,6.0,1.08718,0.662976,8018.911311834289
M87-30,13,7.0,1.08234,0.667175,7607.5909603267055
M87-30,14,8.0,1.07761,0.670442,7202.048978758545
M87-30,15,10.0,1.06817,0.677781,6381.942949156039
M87-30,16,12.0,1.05928,0.684955,5596.254059361076
M87-30,17,14.0,1.05036,0.692348,4794.546631631056
M87-30,18,16.0,1.0419,0.69913,4021.4991841827473
M87-30,19,18.0,1.03319,0.706624,3212.3810722132475
M87-30,20,20.0,1.02488,0.713582,2427.6012801498723
M87-30,21,24.0,1.00908,0.727356,899.8295477068198
M87-30,22,28.0,0.994022,0.740929,-601.3951401478075
M87-30,23,34.0,0.971607,0.761803,-2922.2720709093287
M87-30,24,42.0,0.944471,0.786476,-5879.375862255172
M87-30,25,50.0,0.919152,0.810686,-8795.933643184157
M87-5,0,0.0,1.15976,0.612774,13775.263847692617
M87-5,1,0.1,1.13885,0.621938,12192.123633489919
M87-5,2,0.4,1.13436,0.624481,11844.56433583695
M87-5,3,0.7,1.13101,0.626613,11583.451958868627
M87-5,4,1.0,1.12817,0.628351,11360.876463653518
M87-5,5,1.3,1.1255,0.629668,11150.599733451794
M87-5,6,1.6,1.12327,0.631587,10974.20922841347
M87-5,7,2.0,1.12049,0.633357,10753.3311319155
M87-5,8,2.5,1.11685,0.635702,10462.461386936466
M87-5,9,3.0,1.11366,0.637829,10205.987464755857
M87-5,10,4.0,1.10821,0.6419,9764.394834913954
M87-5,11,5.0,1.10253,0.645755,9299.52019446183
M87-5,12,6.0,1.09733,0.6497,8869.711025853656
M87-5,13,7.0,1.09228,0.653322,8448.383198447278
M87-5,14,8.0,1.08713,0.657135,8014.680856935227
M87-5,15,10.0,1.0779,0.664413,7227.015493088419
M87-5,16,12.0,1.06858,0.671542,6417.862958318524
M87-5,17,14.0,1.05907,0.679162,5577.535007128892
M87-5,18,16.0,1.05,0.686128,4761.904761904766
M87-5,19,18.0,1.04132,0.693763,3968.0405638996676
M87-5,20,20.0,1.0328,0.700992,3175.832687838879
M87-5,21,24.0,1.0166,0.714508,1632.893960259684
M87-5,22,28.0,1.00013,0.728986,12.998310219667792
M87-5,23,34.0,0.977336,0.74961,-2318.9568377712494
M87-5,24,42.0,0.949125,0.775203,-5360.200184380351
M87-5,25,50.0,0.922086,0.799658,-8449.75414440736
mox1,0,0.0,1.16625,0.603491,14255.091103965702
mox1,1,0.1,1.14515,0.612623,12675.195389250308
mox1,2,0.4,1.14083,0.614976,12344.521094291
mox1,3,0.7,1.13715,0.617315,12060.853889108745
mox1,4,1.0,1.13394,0.618903,11811.912446866674
mox1,5,1.3,1.13193,0.620372,11655.314374563806
mox1,6,1.6,1.12931,0.62209,11450.354641329664
mox1,7,2.0,1.12615,0.623977,11201.882520090572
mox1,8,2.5,1.12306,0.626217,10957.562374227553
mox1,9,3.0,1.11984,0.628159,10701.528789827114
mox1,10,4.0,1.11436,0.631866,10262.392763559354
mox1,11,5.0,1.1085,0.636305,9788.001804239966
mox1,12,6.0,1.10336,0.639735,9367.749419953587
mox1,13,7.0,1.09776,0.643923,8905.407375018225
mox1,14,8.0,1.09301,0.647704,8509.528732582505
mox1,15,10.0,1.08321,0.655117,7681.797620036743
mox1,16,12.0,1.07355,0.662462,6851.101485724932
mox1,17,14.0,1.06405,0.669934,6019.453973027578
mox1,18,16.0,1.05476,0.67748,5191.702377792097
mox1,19,18.0,1.04566,0.684732,4366.620125088464
mox1,20,20.0,1.03704,0.691758,3571.7040808454794
mox1,21,24.0,1.02005,0.706022,1965.5899220626345
mox1,22,28.0,1.00347,0.720519,345.8000737441163
mox1,23,34.0,0.980221,0.740958,-2017.8102693168164
mox1,24,42.0,0.95034,0.76825,-5225.498242734184
mox1,25,50.0,0.923167,0.793311,-8322.762837059821
mox43,0,0.0,1.13505,0.631466,11898.154266331872
mox43,1,0.1,1.1082,0.644511,9763.580581122547
mox43,2,0.4,1.10253,0.648319,9299.52019446183
mox43,3,0.7,1.09839,0.650988,8957.656205901363
mox43,4,1.0,1.09483,0.653636,8661.618698793418
mox43,5,1.3,1.0921,0.656121,8433.293654427256
mox43,6,1.6,1.08943,0.657806,8208.87987296108
mox43,7,2.0,1.08605,0.660561,7923.207955434828
mox43,8,2.5,1.08274,0.663486,7641.723774867469
mox43,9,3.0,1.0795,0.666498,7364.520611394156
mox43,10,4.0,1.07244,0.67282,6754.690239080979
mox43,11,5.0,1.0659,0.6784,6182.568721268418
mox43,12,6.0,1.05936,0.684387,5603.383174747025
mox43,13,7.0,1.05331,0.690131,5061.188064292561
mox43,14,8.0,1.04684,0.695887,4474.418249207137
mox43,15,10.0,1.03444,0.70786,3329.3376126213243
mox43,16,12.0,1.02284,0.717802,2232.998318407568
mox43,17,14.0,1.01156,0.729062,1142.7893550555593
mox43,18,16.0,1.00079,0.739559,78.9376392649875
mox43,19,18.0,0.990381,0.749641,-971.2423804576265
mox43,20,20.0,0.979433,0.760177,-2099.888404821974
mox43,21,24.0,0.959888,0.779443,-4178.820862433955
mox43,22,28.0,0.940865,0.798177,-6285.173749687793
mox43,23,34.0,0.913871,0.824546,-9424.634330228228
mox43,24,42.0,0.882441,0.855142,-13322.023795358553
mox43,25,50.0,0.854176,0.881076,-17071.891507136697
mox70,0,0.0,1.16961,0.59968,14501.415001581727
mox70,1,0.1,1.14859,0.609157,12936.731122506726
mox70,2,0.4,1.14419,0.611602,12601.92800146829
mox70,3,0.7,1.14097,0.613751,12355.276650569254
mox70,4,1.0,1.13843,0.615281,12159.728749242382
mox70,5,1.3,1.13542,0.617214,11926.86406792201
mox70,6,1.6,1.13294,0.618579,11734.072413366997
mox70,7,2.0,1.13035,0.620279,11531.826425443443
mox70,8,2.5,1.1265,0.622779,11229.471815357307
mox70,9,3.0,1.12383,0.624338,11018.570424352445
mox70,10,4.0,1.11799,0.62848,10553.761661553326
mox70,11,5.0,1.11307,0.632209,10158.390757095241
mox70,12,6.0,1.10711,0.635902,9674.73873418179
mox70,13,7.0,1.10197,0.639875,9253.427951759113
mox70,14,8.0,1.0969,0.643488,8833.986689762056
mox70,15,10.0,1.08753,0.650264,8048.513604222421
mox70,16,12.0,1.07733,0.657905,7177.93062478534
mox70,17,14.0,1.06811,0.665104,6376.6840493956515
mox70,18,16.0,1.05927,0.672304,5595.362844222902
mox70,19,18.0,1.05054,0.679027,4810.85917718507
mox70,20,20.0,1.04202,0.68621,4032.552158307897
mox70,21,24.0,1.02467,0.700435,2407.604399465191
mox70,22,28.0,1.00877,0.714132,869.375576196749
mox70,23,34.0,0.985359,0.734784,-1485.8543941852681
mox70,24,42.0,0.955855,0.761023,-4618.378310517807
mox70,25,50.0,0.928488,0.786451,-7701.984301358771
mox87,0,0.0,1.18557,0.5852,15652.386615720709
mox87,1,0.1,1.16837,0.59252,14410.674700651327
mox87,2,0.4,1.1646,0.594414,14133.608105787402
mox87,3,0.7,1.16153,0.5963,13906.657598167929
mox87,4,1.0,1.15891,0.59752,13712.02250390454
mox87,5,1.3,1.15683,0.598852,13556.87525392668
mox87,6,1.6,1.15399,0.600367,13344.136430991608
mox87,7,2.0,1.15148,0.601512,13155.24368638622
mox87,8,2.5,1.14864,0.602936,12940.520963922561
mox87,9,3.0,1.14571,0.604697,12717.877997049865
mox87,10,4.0,1.13966,0.608341,12254.532053419432
mox87,11,5.0,1.13493,0.611709,11888.838959230965
mox87,12,6.0,1.12906,0.615091,11430.747701627899
mox87,13,7.0,1.12519,0.617526,11126.120921799868
mox87,14,8.0,1.12009,0.621117,10721.459882688001
mox87,15,10.0,1.11117,0.627121,10004.769747203398
mox87,16,12.0,1.10249,0.633156,9296.229444257997
mox87,17,14.0,1.09365,0.639009,8563.068623416999
mox87,18,16.0,1.08504,0.645284,7837.499078374992
mox87,19,18.0,1.07671,0.651079,7124.481058037917
mox87,20,20.0,1.06899,0.657303,6453.755413988915
mox87,21,24.0,1.05335,0.668577,5064.793278587365
mox87,22,28.0,1.03791,0.681246,3652.5324931834266
mox87,23,34.0,1.01603,0.698807,1577.7093196067033
mox87,24,42.0,0.988135,0.722466,-1200.7468615118394
mox87,25,50.0,0.962219,0.744962,-3926.4450192731547
